"parent","child"
"o__Chroococcales","f__Phormidiaceae"
"o__Chthoniobacterales","f__Chthoniobacteraceae"
"o__Chthonomonadales","f__Chthonomonadaceae"
"o__Clostridiales","f__Lachnospiraceae"
"o__Clostridiales","f__Clostridiaceae"
"o__Clostridiales","f__Ruminococcaceae"
"o__Clostridiales","f__Peptococcaceae"
"o__Clostridiales","f__Peptostreptococcaceae"
"o__Clostridiales","f__Eubacteriaceae"
"o__Clostridiales","f__Catabacteriaceae"
"o__Clostridiales","f__Veillonellaceae"
"o__Clostridiales","f__Dehalobacteriaceae"
"o__Clostridiales","f__Christensenellaceae"
"o__Clostridiales","f__Symbiobacteriaceae"
"o__Coriobacteriales","f__Coriobacteriaceae"
"o__CW040","f__F16"
"o__Deinococcales","f__Deinococcaceae"
"o__Desulfobacterales","f__Desulfobulbaceae"
"o__Desulfovibrionales","f__Desulfovibrionaceae"
"o__Desulfovibrionales","f__Desulfomicrobiaceae"
"o__Enterobacteriales","f__Enterobacteriaceae"
"o__Erysipelotrichales","f__Coprobacillaceae"
"o__Erysipelotrichales","f__Erysipelotrichaceae"
"o__Exiguobacterales","f__Exiguobacteraceae"
"o__Fimbriimonadales","f__Fimbriimonadaceae"
"o__Flavobacteriales","f__Flavobacteriaceae"
"o__Flavobacteriales","f__Blattabacteriaceae"
"o__Flavobacteriales","f__Cryomorphaceae"
"o__Fusobacteriales","f__Leptotrichiaceae"
"o__Fusobacteriales","f__Fusobacteriaceae"
"o__Gaiellales","f__Gaiellaceae"
"o__Gallionellales","f__Gallionellaceae"
"o__Gemellales","f__Gemellaceae"
"o__Gemmatales","f__Isosphaeraceae"
"o__Gemmatimonadales","f__Ellin5301"
"o__Gemmatimonadales","f__Gemmatimonadaceae"
"o__Herpetosiphonales","f__Herpetosiphonaceae"
"o__Holophagales","f__Holophagaceae"
"o__HTCC2188","f__HTCC2188"
"o__I025","f__Rs-045"
"o__Lactobacillales","f__Lactobacillaceae"
"o__Lactobacillales","f__Aerococcaceae"
"o__Lactobacillales","f__Streptococcaceae"
"o__Lactobacillales","f__Enterococcaceae"
"o__Lactobacillales","f__Carnobacteriaceae"
"o__Lactobacillales","f__Leuconostocaceae"
"o__Legionellales","f__Coxiellaceae"
"o__Legionellales","f__Legionellaceae"
"o__Methylococcales","f__Methylococcaceae"
"o__Methylophilales","f__Methylophilaceae"
"o__Mycoplasmatales","f__Mycoplasmataceae"
"o__Myxococcales","f__Polyangiaceae"
