"parent","child"
"g__Ureaplasma","g__Ureaplasma"
"g__Vagococcus","g__Vagococcus"
"g__Varibaculum","g__Varibaculum"
"g__Variovorax","g__Variovorax"
"g__Veillonella","g__Veillonella"
"g__Verminephrobacter","g__Verminephrobacter"
"g__Vibrio","g__Vibrio"
"g__Virgibacillus","g__Virgibacillus"
"g__Vogesella","g__Vogesella"
"g__Volucribacter","g__Volucribacter"
"g__Wautersiella","g__Wautersiella"
"g__Weissella","g__Weissella"
"g__Williamsia","g__Williamsia"
"g__Xylella","g__Xylella"
"g__Yaniella","g__Yaniella"
"g__Yersinia","g__Yersinia"
"g__YRC22","g__YRC22"
"g__Zoogloea","g__Zoogloea"
"s__acidifaciens","s__acidifaciens"
"s__acnes","s__acnes"
"s__adolescentis","s__adolescentis"
"s__aeria","s__aeria"
"s__aerofaciens","s__aerofaciens"
"s__agalactiae","s__agalactiae"
"s__agaradhaerens","s__agaradhaerens"
"s__agilis","s__agilis"
"s__alactolyticus","s__alactolyticus"
"s__alcaligenes","s__alcaligenes"
"s__amazonensis","s__amazonensis"
"s__anaerobius","s__anaerobius"
"s__andropogonis","s__andropogonis"
"s__anginosus","s__anginosus"
"s__animalis","s__animalis"
"s__asaccharolyticus","s__asaccharolyticus"
"s__asahii","s__asahii"
"s__aureum","s__aureum"
"s__aureus","s__aureus"
"s__barengoltzii","s__barengoltzii"
"s__barnesii","s__barnesii"
"s__bifida","s__bifida"
"s__bifidum","s__bifidum"
"s__biforme","s__biforme"
"s__boronitolerans","s__boronitolerans"
"s__bovis","s__bovis"
"s__breve","s__breve"
"s__brevis","s__brevis"
"s__bromii","s__bromii"
"s__butyricum","s__butyricum"
"s__caccae","s__caccae"
"s__callidus","s__callidus"
"s__cambriense","s__cambriense"
"s__caricis","s__caricis"
"s__caseolyticus","s__caseolyticus"
"s__casseliflavus","s__casseliflavus"
"s__catus","s__catus"
"s__celatum","s__celatum"
"s__chocolatum","s__chocolatum"
"s__cinerea","s__cinerea"
"s__citronellolis","s__citronellolis"
"s__coleohominis","s__coleohominis"
"s__copri","s__copri"
"s__coprophilus","s__coprophilus"
"s__cosmopolitanus","s__cosmopolitanus"
"s__costicola","s__costicola"
"s__cowanii","s__cowanii"
"s__criceti","s__criceti"
"s__crispatus","s__crispatus"
"s__cryoconitis","s__cryoconitis"
"s__cylindroides","s__cylindroides"
"s__D168","s__D168"
"s__delafieldii","s__delafieldii"
"s__depolymerans","s__depolymerans"
"s__diminuta","s__diminuta"
"s__dispar","s__dispar"
"s__dispersa","s__dispersa"
"s__distasonis","s__distasonis"
"s__dolichum","s__dolichum"
"s__eggerthii","s__eggerthii"
"s__elsdenii","s__elsdenii"
"s__endodontalis","s__endodontalis"
"s__endophyticus","s__endophyticus"
"s__epidermidis","s__epidermidis"
"s__equi","s__equi"
"s__equorum","s__equorum"
"s__europaeus","s__europaeus"
"s__eutactus","s__eutactus"
"s__faecis","s__faecis"
"s__faecium","s__faecium"
"s__falsenii","s__falsenii"
"s__farmeri","s__farmeri"
"s__fascians","s__fascians"
"s__fetus","s__fetus"
"s__firmus","s__firmus"
"s__flavefaciens","s__flavefaciens"
"s__flexus","s__flexus"
"s__formicigenerans","s__formicigenerans"
"s__formigenes","s__formigenes"
"s__fragi","s__fragi"
"s__fragilis","s__fragilis"
"s__fungiphilus","s__fungiphilus"
"s__fusiformis","s__fusiformis"
"s__gallinarum","s__gallinarum"
"s__geminatus","s__geminatus"
"s__geniculata","s__geniculata"
"s__geothermalis","s__geothermalis"
"s__ginsengihumi","s__ginsengihumi"
"s__gnavus","s__gnavus"
"s__gordonii","s__gordonii"
"s__granulosum","s__granulosum"
"s__guilliermondii","s__guilliermondii"
"s__guillouiae","s__guillouiae"
"s__haemolyticus","s__haemolyticus"
"s__halodenitrificans","s__halodenitrificans"
"s__hamsteri","s__hamsteri"
"s__helcogenes","s__helcogenes"
"s__helveticus","s__helveticus"
"s__hiranonis","s__hiranonis"
"s__horikoshii","s__horikoshii"
"s__hormaechei","s__hormaechei"
"s__humi","s__humi"
"s__hydrogenalis","s__hydrogenalis"
"s__indicum","s__indicum"
"s__indoligenes","s__indoligenes"
"s__iners","s__iners"
"s__infantis","s__infantis"
"s__influenzae","s__influenzae"
"s__intermedia","s__intermedia"
"s__invisus","s__invisus"
"s__jenensis","s__jenensis"
"s__johnsonii","s__johnsonii"
"s__kestanbolensis","s__kestanbolensis"
"s__komagatae","s__komagatae"
"s__kroppenstedtii","s__kroppenstedtii"
"s__leidyia","s__leidyia"
"s__lenta","s__lenta"
"s__limosum","s__limosum"
"s__lividum","s__lividum"
"s__longum","s__longum"
"s__lubricantis","s__lubricantis"
"s__luteciae","s__luteciae"
"s__luteus","s__luteus"
"s__lwoffii","s__lwoffii"
"s__marcescens","s__marcescens"
"s__marincola","s__marincola"
"s__marinus","s__marinus"
"s__maritypicum","s__maritypicum"
"s__massiliense","s__massiliense"
"s__melaninogenica","s__melaninogenica"
"s__mesenteroides","s__mesenteroides"
"s__mexicana","s__mexicana"
"s__micraerophilus","s__micraerophilus"
"s__micronuciformis","s__micronuciformis"
"s__mobilis","s__mobilis"
"s__moorei","s__moorei"
"s__morganii","s__morganii"
"s__mucilaginosa","s__mucilaginosa"
"s__muciniphila","s__muciniphila"
"s__mucosa","s__mucosa"
"s__mucosae","s__mucosae"
"s__multihospitium","s__multihospitium"
"s__multivorum","s__multivorum"
"s__multocida","s__multocida"
"s__muralis","s__muralis"
"s__nanceiensis","s__nanceiensis"
"s__natatoria","s__natatoria"
"s__necrophorum","s__necrophorum"
"s__neonatale","s__neonatale"
"s__neuii","s__neuii"
"s__nigrescens","s__nigrescens"
"s__nitroreducens","s__nitroreducens"
"s__obeum","s__obeum"
"s__obscurus","s__obscurus"
"s__ochracea","s__ochracea"
"s__oleae","s__oleae"
"s__omnicolens","s__omnicolens"
"s__oncorhynchi","s__oncorhynchi"
"s__organophilum","s__organophilum"
"s__ovatus","s__ovatus"
"s__pallens","s__pallens"
"s__paradoxus","s__paradoxus"
"s__parahaemolyticus","s__parahaemolyticus"
"s__parainfluenzae","s__parainfluenzae"
"s__parvula","s__parvula"
"s__paucivorans","s__paucivorans"
"s__perfringens","s__perfringens"
"s__phocae","s__phocae"
"s__plebeius","s__plebeius"
"s__plutonius","s__plutonius"
"s__pontis","s__pontis"
"s__porcinus","s__porcinus"
"s__prausnitzii","s__prausnitzii"
"s__prevotii","s__prevotii"
"s__producta","s__producta"
"s__pseudofirmus","s__pseudofirmus"
"s__pseudolongum","s__pseudolongum"
"s__pseudopneumoniae","s__pseudopneumoniae"
"s__psychrolactophilus","s__psychrolactophilus"
"s__psychrophilum","s__psychrophilum"
"s__psychrophilus","s__psychrophilus"
"s__pulmonis","s__pulmonis"
"s__pyogenes","s__pyogenes"
"s__radiopugnans","s__radiopugnans"
"s__ramosa","s__ramosa"
"s__ramosum","s__ramosum"
"s__rectus","s__rectus"
"s__renale","s__renale"
"s__resinovorum","s__resinovorum"
"s__reuszeri","s__reuszeri"
"s__reuteri","s__reuteri"
"s__rhizosphaerae","s__rhizosphaerae"
"s__rimae","s__rimae"
"s__rubra","s__rubra"
"s__ruminicola","s__ruminicola"
"s__ruminis","s__ruminis"
"s__schindleri","s__schindleri"
"s__sciuri","s__sciuri"
"s__segnis","s__segnis"
"s__selenatarsenatis","s__selenatarsenatis"
"s__shigelloides","s__shigelloides"
"s__silvestris","s__silvestris"
"s__simulans","s__simulans"
"s__sobrinus","s__sobrinus"
"s__stercorea","s__stercorea"
"s__stercoris","s__stercoris"
"s__stutzeri","s__stutzeri"
"s__subterminale","s__subterminale"
"s__succinicans","s__succinicans"
"s__sulfonivorans","s__sulfonivorans"
"s__tannerae","s__tannerae"
"s__Taxon","s__Taxon"
"s__thermacidophilum","s__thermacidophilum"
"s__thermodenitrificans","s__thermodenitrificans"
"s__triviale","s__triviale"
"s__uli","s__uli"
"s__uniformis","s__uniformis"
"s__urealyticum","s__urealyticum"
"s__ureolyticus","s__ureolyticus"
"s__urethralis","s__urethralis"
"s__valvarum","s__valvarum"
"s__variabile","s__variabile"
"s__veronii","s__veronii"
"s__viridiflava","s__viridiflava"
"s__vitis","s__vitis"
"s__vulcani","s__vulcani"
"s__wittichii","s__wittichii"
"s__yabuuchiae","s__yabuuchiae"
"s__zeae","s__zeae"
