"","SampleID","BodySite","PersonalID","WeeksSinceStart"
"2705","G11127","gut","NAU153","3"
"2466","G11128","gut","NAU146","0"
"2179","G11129","gut","NAU132","2"
"2905","G11130","gut","NAU159","2"
"2657","G11131","gut","NAU150","1"
"2287","G11132","gut","NAU136","2"
"2134","G11136","gut","NAU130","0"
"2607","G11137","gut","NAU149","1"
"2944","G11138","gut","NAU160","0"
"1682","G11139","gut","NAU108","5"
"2426","G11140","gut","NAU144","7"
"2702","G11141","gut","NAU153","0"
"1577","G11142","gut","NAU105","5"
"1677","G11143","gut","NAU108","0"
"2507","G11144","gut","NAU147","3"
"1646","G11146","gut","NAU107","3"
"1878","G11147","gut","NAU117","2"
"1712","G11148","gut","NAU109","4"
"1751","G11149","gut","NAU110","3"
"2906","G11150","gut","NAU159","3"
"2467","G11152","gut","NAU146","1"
"1479","G11153","gut","NAU101","3"
"1476","G11154","gut","NAU101","0"
"2741","G11156","gut","NAU154","2"
"3026","G11158","gut","NAU164","2"
"2043","G11161","gut","NAU124","2"
"1708","G11162","gut","NAU109","0"
"2218","G11163","gut","NAU133","1"
"2468","G11164","gut","NAU146","2"
"2742","G11166","gut","NAU154","3"
"1480","G11168","gut","NAU101","4"
"1481","G11169","gut","NAU101","5"
"1711","G11170","gut","NAU109","3"
"2853","G11171","gut","NAU157","1"
"1576","G11172","gut","NAU105","3"
"1750","G11174","gut","NAU110","2"
"2818","G11175","gut","NAU156","2"
"2422","G11176","gut","NAU144","2"
"2424","G11179","gut","NAU144","4"
"1681","G11183","gut","NAU108","4"
"1680","G11184","gut","NAU108","3"
"2000","G11185","gut","NAU123","2"
"2090","G11186","gut","NAU129","3"
"2425","G11189","gut","NAU144","5"
"2423","G11190","gut","NAU144","3"
"2854","G11191","gut","NAU157","2"
"2368","G11193","gut","NAU139","1"
"2855","G11194","gut","NAU157","3"
"1610","G11195","gut","NAU106","6"
"2428","G11196","gut","NAU144","9"
"2554","G11199","gut","NAU148","0"
"2946","G11202","gut","NAU160","2"
"1482","G11206","gut","NAU101","6"
"2472","G11207","gut","NAU146","9"
"2004","G11210","gut","NAU123","6"
"1716","G11211","gut","NAU109","9"
"1917","G11213","gut","NAU119","6"
"1650","G11214","gut","NAU107","8"
"2506","G11215","gut","NAU147","1"
"2091","G11217","gut","NAU129","4"
"2860","G11222","gut","NAU157","9"
"1715","G11223","gut","NAU109","8"
"2658","G11224","gut","NAU150","2"
"2951","G11225","gut","NAU160","9"
"1799","G11226","gut","NAU114","2"
"1713","G11228","gut","NAU109","5"
"2559","G11229","gut","NAU148","6"
"1644","G11236","gut","NAU107","1"
"1483","G11238","gut","NAU101","8"
"2370","G11239","gut","NAU139","3"
"2608","G11260","gut","NAU149","2"
"1608","G11269","gut","NAU106","4"
"2219","G11276","gut","NAU133","2"
"1484","G11278","gut","NAU101","9"
"1714","G11280","gut","NAU109","6"
"1683","G11283","gut","NAU108","6"
"2511","G11292","gut","NAU147","9"
"3409","G11306","gut","NCS237","6"
"3221","G11307","gut","NCS213","8"
"3219","G11309","gut","NCS213","6"
"3220","G11311","gut","NCS213","7"
"3301","G11312","gut","NCS233","7"
"3303","G11319","gut","NCS233","9"
"3408","G11322","gut","NCS237","3"
"3302","G11323","gut","NCS233","8"
"3218","G11325","gut","NCS213","5"
"3297","G11328","gut","NCS233","0"
"3410","G11330","gut","NCS237","7"
"3253","G11348","gut","NCS214","6"
"3405","G11349","gut","NCS237","0"
"3216","G11351","gut","NCS213","2"
"3251","G11352","gut","NCS214","2"
"3252","G11353","gut","NCS214","5"
"3213","G11361","gut","NCS213","0"
"3299","G11364","gut","NCS233","5"
"3407","G11367","gut","NCS237","2"
"3411","G11368","gut","NCS237","9"
"3217","G11370","gut","NCS213","3"
"3249","G11371","gut","NCS214","0"
"3300","G11383","gut","NCS233","6"
"3255","G11385","gut","NCS214","8"
"3254","G11389","gut","NCS214","7"
"3061","G11403","gut","NCS203","2"
"3625","G11406","gut","NCS263","0"
"3250","G11408","gut","NCS214","1"
"3588","G11409","gut","NCS255","7"
"3298","G11411","gut","NCS233","2"
"3508","G11413","gut","NCS248","2"
"3512","G11415","gut","NCS248","8"
"3098","G11417","gut","NCS204","2"
"3179","G11418","gut","NCS212","2"
"3180","G11419","gut","NCS212","3"
"3100","G11424","gut","NCS204","5"
"2141","G11426","gut","NAU130","8"
"3628","G11428","gut","NCS263","5"
"3544","G11433","gut","NCS253","2"
"3545","G11436","gut","NCS253","3"
"3627","G11440","gut","NCS263","2"
"3550","G11453","gut","NCS253","9"
"3631","G11456","gut","NCS263","8"
"3585","G11457","gut","NCS255","3"
"3587","G11458","gut","NCS255","6"
"3183","G11460","gut","NCS212","7"
"3586","G11461","gut","NCS255","5"
"3632","G11462","gut","NCS263","9"
"3184","G11470","gut","NCS212","9"
"3590","G11477","gut","NCS255","9"
"3060","G11482","gut","NCS203","1"
"1919","G11484","gut","NAU119","9"
"3548","G11485","gut","NCS253","7"
"3181","G11487","gut","NCS212","5"
"3509","G11489","gut","NCS248","3"
"3063","G11490","gut","NCS203","5"
"3065","G11491","gut","NCS203","8"
"3630","G11496","gut","NCS263","7"
"3103","G11498","gut","NCS204","8"
"943","G11500","gut","CUB038","3"
"152","G11501","gut","CUB004","3"
"69","G11504","gut","CUB000","3"
"674","G11506","gut","CUB027","2"
"440","G11508","gut","CUB012","3"
"405","G11510","gut","CUB011","3"
"231","G11511","gut","CUB007","2"
"906","G11512","gut","CUB037","5"
"1168","G11514","gut","CUB049","8"
"1361","G11516","gut","CUB056","8"
"1024","G11517","gut","CUB042","3"
"1356","G11518","gut","CUB056","2"
"644","G11520","gut","CUB026","5"
"714","G11522","gut","CUB028","6"
"646","G11523","gut","CUB026","8"
"1357","G11524","gut","CUB056","3"
"154","G11527","gut","CUB004","5"
"371","G11528","gut","CUB010","6"
"235","G11529","gut","CUB007","6"
"1281","G11530","gut","CUB052","8"
"155","G11532","gut","CUB004","6"
"1163","G11533","gut","CUB049","3"
"905","G11535","gut","CUB037","4"
"820","G11536","gut","CUB033","6"
"1208","G11540","gut","CUB050","3"
"1316","G11541","gut","CUB053","3"
"153","G11545","gut","CUB004","4"
"1162","G11546","gut","CUB049","2"
"326","G11547","gut","CUB009","4"
"276","G11548","gut","CUB008","4"
"984","G11549","gut","CUB040","3"
"368","G11550","gut","CUB010","3"
"595","G11551","gut","CUB019","3"
"1207","G11552","gut","CUB050","2"
"370","G11553","gut","CUB010","5"
"407","G11554","gut","CUB011","6"
"1066","G11555","gut","CUB044","3"
"1121","G11556","gut","CUB048","6"
"1118","G11557","gut","CUB048","3"
"600","G11558","gut","CUB019","8"
"325","G11561","gut","CUB009","3"
"1026","G11562","gut","CUB042","5"
"1210","G11563","gut","CUB050","5"
"1071","G11564","gut","CUB044","8"
"680","G11565","gut","CUB027","8"
"1278","G11567","gut","CUB052","5"
"1068","G11568","gut","CUB044","5"
"1319","G11569","gut","CUB053","6"
"597","G11570","gut","CUB019","5"
"330","G11571","gut","CUB009","8"
"785","G11572","gut","CUB032","6"
"867","G11573","gut","CUB036","5"
"944","G11574","gut","CUB038","5"
"819","G11575","gut","CUB033","5"
"73","G11578","gut","CUB000","8"
"117","G11580","gut","CUB003","8"
"406","G11581","gut","CUB011","5"
"484","G11582","gut","CUB015","5"
"1167","G11583","gut","CUB049","7"
"1069","G11584","gut","CUB044","6"
"988","G11585","gut","CUB040","7"
"712","G11587","gut","CUB028","5"
"821","G11588","gut","CUB033","7"
"678","G11589","gut","CUB027","6"
"1122","G11590","gut","CUB048","7"
"156","G11596","gut","CUB004","7"
"115","G11597","gut","CUB003","6"
"372","G11598","gut","CUB010","7"
"444","G11599","gut","CUB012","7"
